en_name,zh_name,ja_name
,职业棒球之魂2019,プロ野球スピリッツ2019
Rise of Incarnates,化神降世,
On Rusty Trails,在腐蚀的小路上,
Luo De Dao Zhan Ji,罗德岛战记,
Castle Story,城堡故事,
BOID,变异体入侵,
Blasted Fortress,炮轰要塞,
Major League Baseball 2K8,美国职业棒球大联盟2K8,
Arizona Rose and the Pharaohs' Riddles,亚利桑那罗斯2：法老王之谜,
Elendia Ceus,伊兰迪亚：索斯,
Mystery Case Files：13th Skull,神秘视线7：第十三只骷髅,
Memories Off 4,秋之回忆4：从今以后,
War for the Overworld,地下城争夺战,
,伊苏 法尔加纳的誓言,イース -フェルガナの誓い-
Commander: The Great War,指挥官：伟大的战争,
Murder She Wrote,她书写谋杀,
Outbreak: Epidemic,爆发：瘟疫,
The Way of Cossack,哥萨克之路,
Emperor：Rise of the Middle Kingdom,皇帝：中国的崛起,
Eternity: The Last Unicorn,永恒：最后的独角兽,
Warbanners,战争旗帜,
Powerslide,高能滑行,
Cross Channel: For All People,交错频道,
Meikyū no dōruporisu,迷宮のドールポリス,
,新旧洛克人,ロックマンロックマン
Tour de France 2018,环法自行车赛 2018,
theHunter Classic,猎人经典版,
Fear Effect Sedna,恐惧反应：赛德纳,
Hell is a Mountain Flower,地狱山花,
The Lost We Lost,人间,
Euro Fishing,欧洲钓鱼模拟,
Kingdom Rush Frontiers,王国保卫战：前线,
Truck Driver,卡车司机,
The Guild 2：Renaissance,行会2：文艺复兴,
Dao Feng San Guo,刀锋三国,
Anti-Turing Test,反图灵测试,
Override: Mech City Brawl,机械城乱斗,
Super Lucky's Tale,超级幸运传说,
,妖怪手表2 真打,妖怪ウォッチ2 真打
Dungeon Lords MMXII,地下城主MMXII,
Infested: Space Colony,闹鬼：太空殖民地,
Axis and Allies,轴心国和同盟军,
Oreshika: Tainted Bloodlines,跨越俺的尸体2,
Battlevoid: Sector Siege,作战部队：星际围攻,
Final Fantasy VIII,最终幻想8,
Tales From The Dragon Mountain：The Strix,龙岭传说：斯缀克斯,
Mystery of Neuschwanstein,新天鹅堡的奥秘,
Just a Phrase by POWGI,POWGI 句子迷题,
Hidden Shelter,隐藏的庇护所,
Xin Da Hua Xi You 2,新大话西游3,
World Mosaics 4,马赛克世界4,
Corum The Another Story,科隆外传：创世启示录,
MY DESTINY GIRLS,都要！小孩子才做选择！,
,机动战士高达 基连的野望 吉翁的系谱,機動戦士ガンダム ギレンの野望 ジオンの系譜
The Chosen Soul 2,剑灵2：幻域封魔,
Blooming Business: Casino,萌宠大赢家,
Guns'n'Stories: Preface VR,枪炮的故事：防弹VR,
,镖行天下,
Man Huang Chuan Shuo,蛮荒传说,
UNCHARTED: Legacy of Thieves Collection,神秘海域 盗贼传奇合辑,
Buccaneer: The Pursuit of Infamy,海盗：臭名昭著,
Sango The Fall of the Han Dynasty,制霸三国,
Primal Carnage,原始杀戮,
PUPU'S PARK ADVENTURE,噗噗的冒险乐园,
,铳墓VR,ガングレイヴ VR
AI War 2,人工智能战争2,
Ultimate General：Gettysburg,终极将军：盖茨堡战役,
,元境VR,
Forestry 2017 - The Simulation,林业模拟2017,
Schoolmates: From Present to Past,同学们：回到过去,
Ray's the Dead,僵尸的逆袭,
Final Fantasy XV Royal Edition,最终幻想15 皇家版,
Cold Dreams,寒冷梦境,
First Fleet,第一舰队,
Baseball Riot,棒球暴乱,
Conflict: Desert Storm,冲突：沙漠风暴,
No Place Like Home,何处如家,
Hooters Road Trip,公路拉力赛,
The maid dragon of Kobayashi-san,小林家的龙女仆,
Grey Cubes,灰色方块,
Reality Show: Fatal Shot,真人秀：致命一枪,
Logistics Company,物流公司,
The Signal State,信号法则,
San Guo Zhi Zhao Huan Meng Jiang,三国之召唤猛将,
Mimpi,米皮历险记,
Alien Disco Safari,异形迪斯科掠夺者,
Danger！Energy,危险！能量,
DANCE CENTRAL 2,舞动全身 2,
Street Fighter 6,街霸6,
,热血硬派国夫君SP 乱斗协奏曲,热血硬派くにおくんSP 乱闘协奏曲
The Franz Kafka Videogame,卡夫卡的冒险游戏,
Pavilion,亭阁,
Doom,毁灭战士,
Legends of Runeterra,符文之地传说,
Tiny Token Empires,帝国的象征,
STAR WARS: Rebel Assault 1+2,星球大战：Rebel Assault 1+2,
Nobunaga's Ambition: Taishi,信长之野望：大志,信長の野望·大志
Miku Miku Hockey,初音冰球AR,
,怪物猎人XX,モンスターハンター ダブルクロス
,Justy x Nasty:魔王起程,Justy×Nasty ～魔王はじめました～
7.62 High Calibre,7.62大口径部队,
Fengtian,奉天白事铺,
Xuan Long Shan,玄龙山,
Warlords Battlecry 3,呼啸战神3,
,安妮的工作室 赛拉岛的炼金术士,アニーのアトリエ～セラ島の錬金術士～
Madden NFL 06,疯狂橄榄球06,
Dillos,松鼠大挑战,
YesterMorrow,昨日未来,
Worms Ultimate Mayhem,百战天虫：终极伤害,
NORN9: Var Commons,命运九重奏：Var Commons,
Sky Escort,天行镖客,
Caligula,卡里古拉,
Catie in MeowmeowLand,凯蒂梦游喵喵仙境,
Girl Gunner,枪之少女,
Freeze ME,冻结者,
Zombie Army 4: Dead War,僵尸部队4：死亡战争,
Hello Neighbor: Hide and Seek,你好邻居：躲猫猫,
Star Ocean: First Departure R,星之海洋 初次启航R,
SpongeBob SquarePants: The Clash of Triton,海绵宝宝：海神别嚣张,
The Fabled Woods,传说中的森林,
STAR OCEAN THE DIVINE FORCE,星之海洋：神圣力量,
shenmojuezhijiulijianEA,神魔决之九黎剑EA,
The Hunter 2012,猎人2012,
El Hijo,埃尔希乔,
Project Wunderwaffe,奇迹武器计划,
Creativerse,创世纪,
99 Spirits,九十九神,
KUNKUN Defender,坤化危机,
Caligula Overdose,卡里古拉 过量强化,
Downwell,坠落深井,
Escape the Backrooms,逃离后室,
Towtruck Simulator 2015,拖车模拟2015,
Haunted Hotel 3: Lonely Dream,幽魂旅店3：孤独的梦,
Call of FireWork,烟花战争,
Demon Hunter 3: Revelation,恶魔猎手3：启示,
"Of the Red, the Light, and the Ayakashi Tsuzuri",赤与灯皆有诡异 集册,
Death and the Fly,死神与苍蝇,
Monument Builders: Colosseum,纪念碑建设者5：罗马斗兽场,
Road Rash,暴力摩托,
Dance with Devils,与魔共舞,
Splice,序列拼接,
FANTASIA SANGO 4,幻想三国志4,
Finders Reapers,拾荒者和收割者,
Cabelas 4x4 Offroad Adventure 2,坎贝拉越野赛车2,
Maximum Capacity: Hotel Giant,模拟饭店,
Ash of Gods: The Way Prologue,诸神灰烬：抉择 序章,
CYPHER: Cyberpunk Text Adventure,密码：庞克文字冒险,
Star Wars: Dark Forces,星球大战：黑暗力量,
ASTRO BOT：RESCUE MISSION,宇宙机器人：搜救行动,
Lost Brothers,失落的兄弟,
Samurai spin-off Katanakami,侍道外传：刀神,
World War II Combat: Iwo Jima,二战战役：决战硫磺岛,
2XL Supercross,2XL越野狂飙,
Dark Scavenger,黑暗拾荒者,
Surf's Up,冲浪季节,
"Warhammer 40,000: Dawn of War II",战锤40K：战争黎明2,
GUILTY GEAR Xrd -REVELATOR-,罪恶装备 未知次元 启示者,
,机甲派对,
Insurmountable,孤山难越,
HELLSEED: Chapter 1,地狱之种：第一章,
Deadbeat Heroes,无差英雄,
Homeworld: Cataclysm,家园：惊世浩劫,
,鬼魂力量 起源,スペクトラルフォース ジェネシス
Heroes of Hammerwatch,铁锤守卫：英雄传,
,招魂记,
Outdoor Life: Sportsman's Challenge,野外运动挑战赛,
Firestone: Online Idle RPG,火之石『Firestone』放置幻想王国英雄管理RPG,
Cats Yakuza - Online card game,猫咪的黑手党 - 联机对战卡牌游戏,
Ankora: Lost Days,安可拉：失落时光,
Warhammer 40000: Dark Nexus Arena,战锤40K：黑暗枢纽竞技场,
Oddworld：Abe's Exoddus,奇异世界：阿比历险记,
Stars Beyond Reach: This World is Mine,遥远星球：我的世界,
Reign Of Kings,国王的统治,
Lobster Empire,龙虾帝国,
Nikopol：Secrets of the Immortals,尼可波勒：诸神混乱,
,HOSPITAL. 6人的医师,HOSPITAL. 6人の医師
The Karters,卡丁车,
Down the River,顺流而下,
OH! RPG!,哦！角色扮演游戏！,
The Shapeshifting Detective,变形侦探,
,节奏健身 HOME FiT,フィンクホームフィット
Heaven Will Be Mine,天堂为我所有,
KITCHEN,厨房,
Trapped Dead: Lockdown,僵尸困境：封锁,
Serious Sam,英雄萨姆,
,超杰交融,リゼルクロス
Ascension: Deckbuilding Game,暗杀神,
Shelter in the Doomsday,末世避难所,
Star-Twine,星结,
Odd Ballers,神奇躲避球,
Starship Titanic,星河舰队,
Girl's Forntline,少女前线,
,露珠的冒险,デューイズ アドベンチャー ~水精デューイの大冒険
,决战！平安京,
,牧场物语 欢迎来到风之集市,牧場物語 ようこそ!風のバザールへ
Darkness Within：In Pursuit of Loath Nolder,内心的黑暗：追踪,
MLB 12: The Show,美国职业棒球大联盟 12,
,怪物猎人G,モンスターハンターG
Manifold Garden,多重花园,
Tenchi o Kurau 2-geniuses sanctuaries Remake,吞食天地2秋风五丈原重制版,
Epic Battle Fantasy 5,史诗幻想5,
Hardland,荒诞之地,
A House of Thieves,窃贼横行,
Ben 10: Omniverse,Ben 10 最终进化,
,沙加 绯色天恩 深红野望,サガ スカーレット グレイス 緋色の野望
Oddworld: Stranger's Wrath,奇异世界：赏金怪客,
Mario + Rabbids Kingdom Battle,马力欧+疯兔 王国之战,
PuzzleQuest: Challenge of the Warlords,益智之谜：战神的挑战,
Undead Horde,不死军团,
Indiana Jones and the Last Crusade: The Graphic Adventure,夺宝奇兵3：圣战奇兵,
Bounty Battle,赏金战争,
Cities in Motion,都市运输,
Wars of Cards: ROMA,众牌的战争：罗马,
OMFG: One Million Fatal Guns,百万致命枪械,
Particle Mace,拉线流星锤,
DEAD OR ALIVE Xtreme Venus Vacation,死或生：沙滩排球 女神假期,
Emily is Away <3,艾米丽已经离开<3,
Paradise Killer,天堂杀手,
Beats of Fury,节奏狂怒,
Vietcong: Fist Alpha,丛林之狐：阿尔法之拳,
,梦幻之星 携带版,ファンタシースターポータブル
,如龙 维新！极,龙が如く 维新 极
Heroes of Loot 2,乱世之王2,
Karateka,空手道,
The Underground Man,地下城男人,
Factory Manager Simulator,工厂经理模拟器,
Press X to Not Die,按X免于一死,
Capes,正义四侠,
Demolition Inc.,拆迁公司,
Crown of Glory: Europe in the Age of Napoleon,荣誉王冠：拿破仑时代的欧洲,
South Park: Phone Destroyer,南方公园 手机毁灭者,
Immortal Planet,不朽星球,
ARMORED HEAD,铠甲头,
The Sims 2 Deluxe,模拟人生2：豪华版,
Galcon Fusion,宇宙战争联盟,
Echelon,梯队,
Fight the Horror,瞑目,
Not Tonight 2,今晚没开2,
Metal Waltz: Anime tank girls,钢铁华尔兹：动画坦克少女,
Lost Marbles,消失的弹珠,
Wonder Boy III: The Dragon's Trap,神奇男孩3：龙之陷阱,
Game Party Champions,游戏聚会冠军,
Gears of Dragoon,龙之齿轮-黎明的碎片-,
The Night Of The Rabbit,兔子之夜,
Wizard of White Box,白箱魔法使,
Tunnel of Doom,末日隧道,
Pokémon Rumble U,轰隆隆口袋妖怪U,
Awesome Pea,棒豌豆,
Alan Wake,心灵杀手,
Creed: Rise to Glory,奎迪：走向荣耀,
,合金猎犬,クロムハウンズ
Hidden Mysteries：Notre Dame Secrets of Paris,隐藏的秘密：巴黎圣母院之谜,
Chronicles of Vinland,文兰编年史,
Starbound,星界边境,
Avencast: Rise of the Mage,艾云卡斯之法师的崛起,
Lips,高歌红唇,
Rumble Roses,摔角玫瑰,
6-301,6栋301房,
Pinball Hall of Fame: The Williams Collection,弹珠台名人堂 威廉姆斯收藏版,
Crawl,爬行,
Luxor,埃及祖玛,
Castle Secrets: Between Day and Night,城堡秘密：日夜之间,
Roots of Pacha,帕夏的起源,
The Treasures of Montezuma 4,蒙特祖玛的宝藏4,
Wedding VR: Masamune,举式VR：伊达政宗篇,
Titanfall 2,泰坦陨落2,
Melty Blood Actress Again Current Code,月姬格斗AACC,
Deep Therapy,深度治疗,
Martial Arts Brutality,武术暴行,
Doctor Who: The Eternity Clock,神秘博士 永恒之钟,
Frozen Hearth,冰原之战,
The New Frontier,探险道,
,英雄传说 碧之轨迹：改,英雄伝説 碧の轨跡：改
Moebius: Empire Rising,莫比斯：帝国崛起,
Reading the Dead,预知死亡,
To the Moon,去月球,
Til Nord,直至北境,
Lanterns,灯笼,
Legend of Feather,天羽传奇,
You're The Boss,你就是老板,
Mahokenshi,魔法剑士,
Warhammer 40000: Inquisitor - Martyr,战锤40K：审判者-殉道者,
Stormdivers,风暴潜者,
Scheming Through The Zombie Apocalypse Ep2: Caged,穿越僵尸启示录2：牢笼,
Best Month Ever!,最好的月份,
Escape Dead Island,逃出死亡岛,
KIDS,孩子们,
Catch a Lover,抓住第三者,
Solace,安慰,
FIVE NIGHTS AT FREDDY'S VR: HELP WANTED,玩具熊的五夜后宫VR：需要帮助,
Patrician IV,大航海家4,
Mecha Squad,机甲小队,
VR Dinosaur Village,VR 恐龙庄园,
Transference,心灵诡宅,
Cossacks：Back to War,哥萨克：重返战场,
PATAPON2 Remastered,啪嗒砰2 高清版,
Instruction Chu,指示厨,
NEKOPARA Vol.2,巧克力与香子兰Vol.2,
Might and Magic Heroes Online,英雄无敌Online,
Assistant to the Lost Detective - Remaster -,迷☆探偵の助手-Remaster-,
,朱鹭子的奇妙冒险,
Out of the Park Baseball 12,劲爆美国棒球12,
Vampire Express,僵尸宅急便,
9.03m,9.03米,
Construction Simulator 2015,模拟建筑2015,
Pixel Puzzles 2: Space,像素解谜：太空,
Fresh Body,冷鲜肉,
BLUE REFLECTION,幻舞少女之剑,
Eastern Exorcist,斩妖行,
Qijingluzhou,奇境绿洲,
Earth's Shadow,地球阴影,
Kardboard Kings: Card Shop Simulator,卡牌王：牌店模拟器,
Who's your Santa,谁是你的圣诞老人,
100ft Robot Golf,100英尺机器人高尔夫,
,游戏王5D's 组队力量4,遊戯王ファイブディーズ タッグフォース4
Durarara!! 3way standoff alley V,无头骑士异闻录!! 3way standoff -alley-V,
7 Hills Of Rome: Mahjong,罗马七丘：麻将,
Command & Conquer 3: Kane's Wrath,命运与征服3 凯恩之怒,
Fable: The Lost Chapters,神鬼寓言：失落之章,
Cardboard Fish,纸板 鱼,
1943 Deadly Desert,1943致命沙漠,
Raby,兔爷雷比,
Fate Of Heart,梦之翼,
The Song of Saya,沙耶之歌,
Meng Huan Long Zu,梦幻龙族,
Trials of the Blood Dragon,特技摩托：血龙,
Headlong Racing,迅猛赛车,
Merlin adventurer store,梅林的冒险家商店,
Project: Knoxville,诺克斯维尔计划,
Fire Pro Wrestling World,超火爆摔角世界,
BattleBlock Theater,战斗砖块剧场,
American Truck Simulator,美国卡车模拟,
Cricket Captain 2017,板球队长2017,
"Warhammer 40,000: Rogue Trader",战锤40K：行商浪人,
Depth,深海,
Nightmares from the Deep: The Siren's Call,深海恶梦：海妖的召唤,
MAGIC MYSTERIES,魔法迷域,
Shadows of Kurgansk,逃离丧尸镇,
One Piece: Unlimited Cruise SP 2,海贼王：无尽的航海SP 2,
Total War: Warhammer III,全面战争：战锤3,
Sydney Hunter and the Curse of the Mayan,悉尼猎人与玛雅诅咒,
Special Forces: Team X,特种部队：X小组,
StarCraft,星际争霸,
Bloons TD Battles,气球塔防对战版,
Shutter,鬼影,
The rabbit and Tamaki are Taking a break!,兔子和玉木正在休息中！,
Castle Of Alchemists,炼金要塞,
Animism: The Book of Emissaries,万物有灵：使者之书,
America's Army 3,美国陆军3,
Heartbeat,心跳,
Edge of Eternity,永恒边缘,
Chrome SpecForce,合金战士：特种部队,
Versus Game,对战游戏,
Abyss Odyssey,深渊奥德赛,
Super Exploding Zoo,超级爆炸动物园,
Crimzon Clover：World Ignition,红莲四羽：世界引燃,
Pokémon Café Mix,宝可梦咖啡店Mix,
Bang-On Balls: Chronicles,波兰球：编年史,
Starshatter,星际破坏者,
Shenjianzhuan,隐世神剑传,
Ultra Wheels Street Jam,街头暴力轮滑,
Crossword City Chronicles,纵横字谜城市编年史,
Bientot l'ete,夏日将至,
Arena 9th,第九竞技场,
Metro: Last Light Redux,地铁：最后的曙光 回归,
Star Horizon,星辰幻境,
Tomb Raider 2,古墓丽影2：西安匕首,
Castle Siege Ballerburg,围城之战,
Garage Inc,车库公司,
Ocean Current Punk,洋流朋克,
The JinYong Legend ARPG 3,金庸无双3,
Virtua Tennis 2009,VR网球2009,
The Crew: Wildrun,飙酷车神：狂野竞速,
Petoons Party,宠物派对,
Garfield Kart - Furious Racing,加菲猫卡丁车：激情竞速,
Radical Rabbit Stew,不要吃兔兔,
Steelrising,钢铁崛起,
Harvest Moon 3D: A New Beginning,牧场物语:起源的大地3D,
Let's Sing Country,Let's Sing 乡村音乐,
,讨鬼传,
The Commission 1920,1920委员会,
EPHEMERAL -FANTASY ON DARK-,暗之眷属,
Tian Di Feng Yun Lu,天地风云录,
Delta Force：Black Hawk Down,三角洲特种部队：黑鹰坠落,
,天地之门,天地の門
The Next Big Thing,下一个大人物,
Blade Runner Enhanced Edition,银翼杀手：加强版,
NORCO,诺科,
Software Inc,软件公司,
Area 51,51区,
The Otterman Empire,水獭帝国,
Twilight Struggle,冷战热斗,
Stardew Valley,星露谷物语,
PAINTER SIMULATOR,画家模拟器,
Magic Cat Academy,魔法喵学院,
Cook Serve Delicious! 2,烹调，上菜，美味！2,
The Wishing Stone,许愿石,
Luminite Era: Expedition,辉石纪：远征,
Sangokushi 3,三国志3,
Chinese Expeditionary Force - Assault Team,中国远征军 - 突击小队,
Splitgate: Arena Warfare,分裂之门：竞技场战争,
Picross Fairytale - nonogram: Red Riding Hood secret,童话故事：红帽秘密,
Rev to Vertex,极速。真拟,
Railway To Dream,铁道少女：梦想轨迹,
Sub Culture,潜艇小英雄,
GRID Autosport,超级房车赛 赛车运动,
Curse of Anabelle,安娜贝尔的诅咒,
Age of Cavemen,穴居人时代,
LEGO Star Wars,乐高星球大战,
Tanktics,绵羊坦克,
Marvel’s Spider-Man 2,漫威蜘蛛侠2,
Summer Lesson: Hikari Miyamoto,夏日课堂：宫本光,
Legend of Fae,仙境传奇,
Rossman,罗斯曼,
The Clockwork Man 2：The Hidden World,发条人2：隐藏的世界,
Capcom Fighting Collection,CAPCOM复古格斗游戏收藏集,
King of Entertainment Majon,综艺麻将王,
Art of Balance,平衡的艺术,
Epic Astro Story,宇宙探险物语,
Arms Dream,妖妖剑戟梦想,
Marlow Briggs,马洛布里格斯,
Outward,物质世界,
Idle Magic Legend,放置修仙世界,
Cricket Captain 2018,板球队长2018,
,古代风流传,
Blacktea With Moon,月夜下的红茶杯,
,大众高尔夫 携带版 2,みんなのGolf ポータブル2
Three Dead Zed,变形僵尸,
God Mode,上帝模式,
ibb and obb,艾波与欧波,
Stargate: Timekeepers,星际之门：计时员,
The Outbound Ghost,野境小幽灵,
Manticore - Galaxy on Fire,浴火银河,
Train Simulator 2018,模拟火车2018,
Fish Fillets 2,小鱼闯关2,
Bleed 2,血流2,
Builder Simulator,建造模拟器,
,Fate/老虎竞技场 强化版,フェイト/タイガーころしあむ アッパー
,房间的秘密3：女团回归夜,
Alchemy Mystery: Prague Legend,炼金术之谜：布拉格传奇,
The Dwarves,矮人,
Dungeons Are Random,随机地下城,
Where Rabbits,兔子在哪里,
Beware Planet Earth!,谨防：地球脉动,
Freedom Wars,自由战争,
Hector：Badge of Carnage,赫克托：卡内奇的勋章,
Hollow Cocoon,茧中蚕,
The Unicorn Princess,独角兽公主,
Rktcr,火箭车,
Black Legend,黑色传奇,
Infection Free Zone – Prologue,无感染区：序章,
Wulverblade,狼刃,
Secret Neighbor,秘密邻居,
The Technomancer,机械巫师,
MXGP2 - The Official Motocross Videogame,越野摩托2,
A Farewell to Dragons,告别龙,
Cave Story 3D,洞窟物语3D,
My Little Kitties,我的小猫咪,
,皇家骑士团 命运之轮,タクティクスオウガ 運命の輪
Savant-Ascent,飞速电梯,
Jane's Longbow 2,长弓阿帕奇2,
Untitled Crossing Record,未命名穿越记录,
Everybody's Golf VR,大众高尔夫VR,
Disciples III：Renaissance,圣战群英传3：复兴,
Monsters' Den: Godfall,怪物的巢穴：神的堕落,
Loading Zone,装载区,
Knight and Bicycle,骑士与自行车,
Reprisal Universe,报复：宇宙版,
Laptop Tycoon,笔记本电脑大亨,
Haunted Hotel: Ancient Bane,幽魂旅店6：远古灾星,
War of the Human Tanks,人间战车,
Race Driver: GRID,超级房车赛 起跑点,
Rise of Venice,威尼斯崛起,
MechWarrior Online™ Solaris 7,机甲战士Online,
TIGER TANK,俯视坦克,
Warhammer: Mark Of Chaos,战锤：混乱之痕,
Warhammer 40000 Chess: Regicide,战锤40K：象棋-弑君,
Night: Silent Killer,夜酱：沉默杀手,
Mario & Sonic at the London 2012 Olympic Games,马里奥与索尼克 伦敦奥运会,
I Am Alive,我还活着,
Doodle Jump Adventures,涂鸦跳跃冒险,
Kena: Bridge of Spirits,柯娜：精神之桥,
Blasphemous,渎神,
,失落次元,ロストディメンション
Zombie TD,僵尸塔防：末世围城,
Project Warlock,术士计划,
,辩游记,
Death Slayer V,死亡杀手5,
Star Wars: Galaxy of Heroes,星球大战 银河英雄,
Tiny Lands,3D找茬,
Phantasy Star Nova,梦幻之星 新星,
Sinking Simulator,沉船模拟器,
Mahjong Magic Journey 3,麻将魔幻之旅3,
Virtual Touch Screen 2,虚拟触摸屏 2,
The Culling 2,淘汰2,
Space Invaders,太空侵略者,
Exit the Gungeon,逃出地牢,
Slice of Sea,海之片,
Tiny Guardians,小小守卫者,
Bloodborne,血源诅咒,
Pillars of Eternity 2: Deadfire,永恒之柱2：死亡之火,
Spaceport Hope,空间站希望,
The Maker's Eden,制造者的伊甸园,
Tiger Woods PGA Tour 05,泰格伍兹高尔夫球巡回赛05,
Avalon Legends Solitaire,阿瓦隆传说纸牌,
Noct,黑夜生存,
GUNDAM EVOLUTION,高达 进化,
Rigonauts,组装战争,
Cute Things Dying Violently,拼命萌物,
Advance Wars: Days of Ruin,超级大战争 毁灭之日,
LEGO:The Hobbit,乐高 霍比特人,
Yakuza:Kiwami 2,如龙：极2,
12sky2,十二之天Ⅱ经典版,
Xeno Crisis,外星危机,
The Great Escape,胜利大逃亡,
Retro City Rampage DX,狂野老城 DX,
The Legend of Heroes ZERO NO KISEKI,英雄传说7：零之轨迹,
Furious Seas,快上贼船,
Lucy The Eternity She Wished For,Lucy她所期望的一切,
Children of Liberty,自由之子,
Final Fantasy V,最终幻想5,
Space Ark,太空方舟,
Journey,风之旅人,
,妖圣剑士F,フェアリーフェンサー エフ
Long Night,长夜漫漫,
Enlisted,入伍,
A Monster's Expedition,怪兽远征,
Uncharted 2: Among Thieves,神秘海域2：纵横四海,
ZombiU,僵尸U,
Yon Paradox,YON悖论,
From Dusk Till Dawn,死守危城,
Guilty Summer Kiss,恶魔夏日之吻,
Cave Crawler,地穴探索,
EKD 3,英杰传3：毛利元就传,
Mameshiba,豌豆小狗,
Dungeon Drafters,魔卡地下城,
Sword Art Online: Hollow Realization,刀剑神域：虚空幻界,
Rhythm Thief & the Emperor’s Treasure,节奏怪盗R 拿破仑的遗产,
Lalaloopsy: Carnival of Friends,乐乐天使 好友狂欢,
Galaxy in Turmoil,银河风暴,
Haunted Legends: The Curse of Vox,幽灵传说4：音之诅咒,
Finn and Jake's Epic Quest,探险活宝：阿宝和老皮的史诗任务,
Snowball Adventure,雪球冒险,
Asphyxia,窒息,
PATAPON,啪塔砰,
,东巴,
Infinite Air with Mark McMorris,马克麦克莫里斯 无限空气,
,恶魔城 被夺走的刻印,悪魔城ドラキュラ奪われた刻印
PaRappa the Rapper,啪啦啪啦啪,
City100,城市百分百,
,欧米伽迷宫,オメガラビリンス
CAPCOM BELT ACTION COLLECTION,CAPCOM清版动作游戏合集,
Demon Slayer Akagi,斩鬼少女明城与奇谭之鬼,
Combat Mission Cold War,战斗任务：冷战,
Wild Season,野生季度,
Sakura Taisen 4 Koiseyo Otome,樱花大战4：恋爱中的少女,
IL-2 Sturmovik: Cliffs of Dover,伊尔2：多佛白崖,
Highrise City,高层都市,
Small World 2,小小世界2,
STAR WARS X-Wing vs TIE Fighter - Balance of Power Campaigns,星球大战：X翼VS钛战机,
Journey: Heart of Gaia,旅程：盖亚之心,
Bus Simulator 16,巴士模拟16,
Happy's Humble Burger Farm,开心小汉堡庄,
Demon Lord,大魔王,
No70: Eye of Basir,70号：巴希尔之眼,
Surviving Mars,火星求生,
Sonic Riders,索尼克竞速,
SimplePlanes,简单飞机,
Might and Magic II: Gates to Another World,魔法门2：异世界之门,
Far Cry Instincts,孤岛惊魂 本能,
PlayStation All-Stars Battle Royale,索尼全明星大乱斗,
Metal Slug 7,合金弹头7,
Wanting Wings,君羽,
Survival Shooter,绝境射击,
The Last 47 Hours,最后的47小时,
Detective Case and Clown Bot in: Murder in the Hotel Lisbon,侦探和小丑机器人：里斯本旅馆谋杀案,
Jump King,跳跃之王,
Cognition: An Erica Reed Thriller,认知：艾丽卡·里德的惊悚故事,
Untamed Tactics,荒野战纪,
,强袭魔女 白银之翼,ストライクウィッチーズ-白銀の翼-
Honour & Freedom 2,自由与荣耀2,
Outcast 2 - A New Beginning,时空英豪2：新起点,
Balthazar's Dream,巴尔萨泽的梦境,
Nancy Drew：The Secret of Shadow Ranch,南茜朱尔：影子农场之谜,
,V恋,
Rad Rodgers,拉德罗杰斯,
Adventure Story,冒险公会与传说,
Heavy Fire: Afghanistan,战火纷飞：阿富汗,
Valfaris: Mecha Therion,瓦尔法瑞斯：兽神归来,
Moka Future,末卡未来,
Evil Days：Pound of Ground,黑暗岁月：街头僵尸,
Dream Land,梦之地,
PT Boats: Knights of the Sea,鱼雷快艇：海洋骑士,
Kindergarten 2,幼儿园2,
Demons Down Under,英勇猎魔小神兔,
Need for Speed Payback,极品飞车20：复仇,
Disintegration,分离,
Age of Empires II HD,帝国时代2 高清版,
Western Outlaw: Wanted Dead or Alive,法外悍将,
The adventure of Kroos,克鲁斯历险记,
Rail of Möbius,湛蓝牢笼,
Shadow Vault,核战阴影,
The Shrouded Isle,迷雾岛,
Mayan Prophecies: Blood Moon,玛雅预言：血色之月,
Disney Pixar Brave: The Video Game,勇敢雄心,
Lords of EverQuest,王者：无尽的任务,
Rebirth of Island,复兴岛,
Aery - Calm Mind,艾瑞：平静的心,
Rabbids Go Home,疯兔归乡记,
It takes two,双人成行,
The Pathless,绝路,
COWABUNGA COLLECTION,忍者神龟：哇卡绑卡合集,
Alien Rage,异形之怒,
Op. Inherent Resolve,代号：坚定决心,
Aqua Kitty：Milk Mine Defender,水猫猫：奶工保卫战,
The Crow’s Eye,乌鸦之眼,
Gym Empire - Gym Tycoon Sim Management,健身帝国,
Watcher Of The Abyss,深渊看守者,
,孤星大冒险,
Haunting Mysteries Island of Lost Souls,萦绕之谜：灵魂迷失的岛屿,
Faith: The Unholy Trinity,信仰 邪恶三相,
Kinect Star Wars,Kinect 星球大战,
Salt and Sacrifice,盐与献祭,
Bakery Simulator,面包房模拟器,
High Octane Drift,高速漂移,
Beer Factory,啤酒工厂,
Enemy,敌人,
The Stillness of the Wind,风之寂静,
Concursion,震荡,
The Messenger,信使2001,
Nike+ Kinect Training,Nike+ Kinect 健身教练,
UglyDolls: An Imperfect Adventure,丑娃娃：不完美的冒险,
,鬼畜王兰斯,鬼畜王ランス
Tomb Raider I-III Remastered,古墓丽影123：复刻版,
LiEat3,LiEat3：吃谎言的龙与金黄色的怪盗,
Power of Ten,十大力量,
Mayjasmine,五月茉莉,
18 Wheels of Steel：American Long Haul,18轮大卡车：美洲长途运输,
Mineko's Night Market,三喵夜市,
WarFire,战火,
Wanderland,漫游国度,
Moss,莫斯,
Sonic Mania,索尼克狂热,
